Account Type,Account Group,Account Number,Category,Location ,Year,Collection,tax
VAT,500,50021,Asia,India,2022,"97,841",17611.38
VAT,500,50021,Asia,UAE,2018,"27,652",4977.36
VAT,500,50021,Asia,India,2019,"83,770",15078.6
VAT,500,50021,Asia,UAE,2022,"49,229",8861.22
VAT,500,50021,Asia,India,2018,"17,539",3157.02
VAT,500,50021,Asia,UAE,2019,"57,948",10430.64
VAT,500,50021,Asia,UAE,2022,"89,787",16161.66
VAT,500,50021,Asia,India,2021,"93,969",16914.42
VAT,500,50021,Asia,India,2022,"36,708",6607.44
VAT,500,50021,Asia,UAE,2018,"32,673",5881.14
VAT,500,50021,Asia,Qatar,2022,"48,954",8811.72
VAT,500,50021,Asia,Singapore,2022,"43,489",7828.02
VAT,500,50021,Asia,UAE,2022,"40,328",7259.04
VAT,500,50021,Asia,UAE,2019,"84,075",15133.5
VAT,500,50021,Asia,India,2022,"84,907",15283.26
VAT,500,50021,Asia,Kuwait,2022,"41,195",7415.1
VAT,500,50021,Asia,UAE,2019,"96,501",17370.18
VAT,500,50021,Asia,UAE,2020,"41,708",7507.44
VAT,500,50021,Asia,UAE,2018,"88,563",15941.34
VAT,500,50021,Asia,Singapore,2022,"44,461",8002.98
VAT,500,50021,Asia,Singapore,2022,"28,009",5041.62
VAT,500,50021,Asia,India,2022,"46,708",8407.44
VAT,500,50021,Asia,Kuwait,2022,"12,040",2167.2
VAT,500,50021,Asia,India,2022,"64,746",11654.28
VAT,500,50021,Asia,India,2020,"72,896",13121.28
VAT,500,50021,Asia,India,2022,"15,486",2787.48
VAT,500,50021,Asia,UAE,2021,"97,821",17607.78
VAT,500,50021,Asia,UAE,2022,"25,860",4654.8
VAT,500,50021,Asia,UAE,2021,"66,744",12013.92
VAT,500,50021,Asia,UAE,2022,"75,771",13638.78
VAT,500,50021,Asia,Singapore,2022,"75,744",13633.92
VAT,500,50021,Asia,UAE,2022,"58,587",10545.66
VAT,500,50021,Asia,India,2022,"47,812",8606.16
VAT,500,50021,Asia,Kuwait,2022,"73,520",13233.6
VAT,500,50021,Asia,India,2018,"77,880",14018.4
VAT,500,50021,Asia,Singapore,2022,"23,311",4195.98
VAT,500,50021,Asia,UAE,2022,"34,663",6239.34
VAT,500,50021,Asia,Qatar,2022,"51,945",9350.1
VAT,500,50021,Asia,India,2019,"92,754",16695.72
VAT,500,50021,Asia,India,2019,"54,746",9854.28
VAT,500,50021,Asia,India,2022,"31,583",5684.94
VAT,500,50021,Asia,India,2022,"30,134",5424.12
VAT,500,50021,Asia,India,2020,"57,906",10423.08
